test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,checkKeys,ignoreUndefined
boolean_singleElementArray._deserialize,bson-ext@4.0.2,5.026615415796477,4.589328864441173,4.867567399704038,0.18644440238954624,0.7180450794189867,1000,1000,0,0,-,-
boolean_array_1000._deserialize,bson-ext@4.0.2,37.52510705384852,36.396249366630315,37.071460421757834,14.860258957618676,2.4761980280324574,1000,1000,1,0,-,-
boolean_array_1000._deserialize,bson-ext@4.0.2,37.497934025291705,36.40304365134718,37.07309100614704,14.278389065854295,2.4691152787887924,1000,1000,0,0,-,-
boolean_array_100._deserialize,bson-ext@4.0.2,26.41667730353258,24.859386037484978,25.734810180681627,2.287236780027854,2.1660932129567567,1000,1000,1,0,-,-
boolean_array_100._deserialize,bson-ext@4.0.2,26.919970486390785,25.214758774863977,26.120359565307556,2.204351751125628,2.1238854137082157,1000,1000,0,0,-,-
boolean_array_10._deserialize,bson-ext@4.0.2,11.228807819317199,10.329455657825212,10.882962462517593,0.5398577718899402,1.4393715645020102,1000,1000,1,0,-,-
boolean_array_10._deserialize,bson-ext@4.0.2,11.257453099877194,10.379552907182584,10.930084699145352,0.5632245500087728,1.441130282122533,1000,1000,0,0,-,-
boolean_singleFieldDocument._deserialize,bson-ext@4.0.2,4.035895116670676,3.8316542593884777,3.9490772711223863,0.10871795565958908,0.47050650317898973,1000,1000,-,-,1,0
boolean_singleElementArray._deserialize,bson-ext@4.0.2,6.058429211716974,5.500462695433909,5.821914328580614,0.18691175922221423,0.9127120545439384,1000,1000,-,-,1,0
boolean_array_1000._deserialize,bson-ext@4.0.2,37.5953707070454,36.518846825675475,37.20546134019443,14.77382589331899,2.4972583721594765,1000,1000,-,-,1,0
boolean_array_100._deserialize,bson-ext@4.0.2,27.85160768523729,26.116633460807535,27.036466815885944,2.1901179913419777,2.2000732909800016,1000,1000,-,-,1,0
boolean_array_10._deserialize,bson-ext@4.0.2,12.861031812955156,11.934726529872684,12.49998169690239,0.5752677087821585,1.6284035657649436,1000,1000,-,-,1,0
